,Gender,Age,Socioeconomic Status,Employment Status,Age Category
120,Male,51.65040301727342,Affluent,Employed,45-54
121,Male,64.51684052921026,Very Affluent,Not in Labour Force,65-74
122,Male,54.7737632736997,Affluent,Employed,55-64
123,Male,45.17583393712944,Average,Employed,45-54
124,Female,31.49944649278435,Disadvantaged,Unemployed,25-34
125,Female,24.70115324343098,Very Disadvantaged,Employed,25-34
126,Female,33.47519634805364,Disadvantaged,Employed,25-34
127,Male,48.0009203188542,Affluent,Employed,45-54
128,Female,20.207745073351912,Very Disadvantaged,Employed,15-24
129,Female,19.023207427942697,Very Disadvantaged,Employed,15-24
130,Female,32.94244617681507,Disadvantaged,Employed,25-34
131,Male,44.77048075919052,Average,Employed,45-54
132,Male,60.150796919463886,Very Affluent,Employed,55-64
133,Female,31.314583208808703,Disadvantaged,Employed,25-34
134,Female,25.8345021005581,Very Disadvantaged,Employed,25-34
135,Female,23.762331954710085,Very Disadvantaged,Unemployed,15-24
136,Male,88.23712738015567,Very Affluent,Not in Labour Force,75+
137,Female,26.16361475622866,Very Disadvantaged,Employed,25-34
138,Female,32.69019887302924,Disadvantaged,Not in Labour Force,25-34
139,Male,43.74655796517071,Average,Employed,35-44
140,Female,15.74586333446885,Very Disadvantaged,Employed,15-24
141,Male,64.57813284816257,Very Affluent,Not in Labour Force,65-74
142,Male,78.22088510068278,Very Affluent,Not in Labour Force,75+
143,Male,43.227245520985264,Average,Employed,35-44
144,Female,20.916565959323997,Very Disadvantaged,Not in Labour Force,15-24
145,Female,33.37881522034154,Disadvantaged,Employed,25-34
146,Male,51.74984351857722,Affluent,Employed,45-54
147,Female,24.220623563909037,Very Disadvantaged,Unemployed,25-34
148,Male,43.02665214183325,Average,Employed,35-44
149,Female,30.67257064483856,Disadvantaged,Employed,25-34
150,Male,77.30553127686542,Very Affluent,Not in Labour Force,75+
151,Male,48.51690731809483,Affluent,Employed,45-54
152,Female,29.866356208273196,Disadvantaged,Not in Labour Force,25-34
153,Female,22.314779315837484,Very Disadvantaged,Not in Labour Force,15-24
154,Male,54.5852770526862,Affluent,Employed,55-64
155,Male,54.98499737418999,Affluent,Employed,55-64
156,Male,53.68528551607449,Affluent,Employed,45-54
157,Male,66.16911898693951,Very Affluent,Not in Labour Force,65-74
158,Male,48.0545780181418,Affluent,Not in Labour Force,45-54
159,Male,43.750043147982076,Average,Employed,35-44
160,Female,27.28033670864447,Disadvantaged,Employed,25-34
161,Male,50.10190727106599,Affluent,Employed,45-54
162,Male,71.87923436706937,Very Affluent,Not in Labour Force,65-74
163,Male,63.4514366833106,Very Affluent,Employed,55-64
164,Male,87.12366248232607,Very Affluent,Not in Labour Force,75+
165,Male,57.43786959554141,Very Affluent,Employed,55-64
166,Male,42.69490001132926,Average,Employed,35-44
167,Female,38.550735837681664,Average,Employed,35-44
168,Male,63.51190471635395,Very Affluent,Employed,55-64
169,Male,76.92119000685628,Very Affluent,Not in Labour Force,75+
170,Male,44.90705280000076,Average,Employed,45-54
171,Female,34.8374993876715,Disadvantaged,Employed,35-44
172,Female,32.937980918682584,Disadvantaged,Employed,25-34
173,Male,61.67213583419858,Very Affluent,Not in Labour Force,55-64
174,Female,27.96078795810333,Disadvantaged,Employed,25-34
175,Male,52.11901052431015,Affluent,Employed,45-54
176,Female,34.817522880289864,Disadvantaged,Employed,35-44
177,Male,56.24462229359749,Very Affluent,Employed,55-64
178,Male,55.00149793598753,Affluent,Employed,55-64
179,Male,50.265144618299615,Affluent,Employed,45-54
180,Male,46.2968467083749,Affluent,Employed,45-54
181,Female,40.407185749380744,Average,Employed,35-44
182,Male,59.073858575468364,Very Affluent,Not in Labour Force,55-64
183,Male,50.845308620736944,Affluent,Employed,45-54
184,Female,38.23080377515735,Average,Employed,35-44
185,Female,17.369619553778136,Very Disadvantaged,Not in Labour Force,15-24
186,Female,34.71311167672978,Disadvantaged,Unemployed,35-44
187,Male,51.87918758203469,Affluent,Employed,45-54
188,Female,39.61228377277583,Average,Not in Labour Force,35-44
189,Female,33.88429255167942,Disadvantaged,Employed,25-34
190,Male,47.175139057549046,Affluent,Employed,45-54
191,Female,23.33011906893643,Very Disadvantaged,Employed,15-24
192,Female,25.75202930141154,Very Disadvantaged,Employed,25-34
193,Male,52.24141436554755,Affluent,Employed,45-54
194,Female,23.375997247135814,Very Disadvantaged,Employed,15-24
195,Female,34.994245597391064,Disadvantaged,Employed,35-44
196,Male,45.419419266769495,Affluent,Employed,45-54
197,Female,22.011985276957667,Very Disadvantaged,Employed,15-24
198,Male,56.29700968191102,Very Affluent,Employed,55-64
199,Male,70.6669894813611,Very Affluent,Not in Labour Force,65-74
200,Male,78.86973752595168,Very Affluent,Not in Labour Force,75+
201,Male,62.588656828643906,Very Affluent,Employed,55-64
202,Male,46.53306490868772,Affluent,Not in Labour Force,45-54
203,Male,68.29627354982716,Very Affluent,Not in Labour Force,65-74
204,Male,51.545821667638535,Affluent,Employed,45-54
205,Male,51.09618151407637,Affluent,Employed,45-54
206,Female,18.0785211589372,Very Disadvantaged,Unemployed,15-24
207,Female,38.0380742012346,Average,Employed,35-44
208,Female,31.086695873926782,Disadvantaged,Not in Labour Force,25-34
209,Female,33.46727125697058,Disadvantaged,Employed,25-34
210,Female,20.840267389899203,Very Disadvantaged,Employed,15-24
211,Male,53.63958640134628,Affluent,Employed,45-54
212,Female,41.095016889483176,Average,Employed,35-44
213,Male,48.17633776917728,Affluent,Employed,45-54
214,Male,46.66036011662273,Affluent,Employed,45-54
215,Female,35.05019149973798,Disadvantaged,Employed,35-44
216,Female,38.354092443587426,Average,Employed,35-44
217,Female,36.977599854244524,Average,Employed,35-44
218,Female,39.823469239519135,Average,Employed,35-44
219,Male,80.6212173184569,Very Affluent,Not in Labour Force,75+
220,Female,35.159532221265465,Disadvantaged,Not in Labour Force,35-44
221,Female,15.983430125335836,Very Disadvantaged,Employed,15-24
222,Male,67.11934365310579,Very Affluent,Not in Labour Force,65-74
223,Male,61.84134055899467,Very Affluent,Unemployed,55-64
224,Female,34.207685698013016,Disadvantaged,Employed,35-44
225,Male,46.65157994803349,Affluent,Not in Labour Force,45-54
226,Female,34.47530591568987,Disadvantaged,Employed,35-44
227,Female,27.82371809322285,Disadvantaged,Employed,25-34
228,Female,28.332890682359622,Disadvantaged,Unemployed,25-34
229,Female,37.17145919515052,Average,Employed,35-44
230,Female,20.18051531783521,Very Disadvantaged,Employed,15-24
231,Male,47.6663230772762,Affluent,Not in Labour Force,45-54
232,Male,53.32922195682517,Affluent,Employed,45-54
233,Male,68.5300223786247,Very Affluent,Not in Labour Force,65-74
234,Female,35.28996169253544,Disadvantaged,Employed,35-44
235,Female,31.76257923732834,Disadvantaged,Employed,25-34
236,Female,35.094756421271605,Disadvantaged,Not in Labour Force,35-44
237,Male,58.09514023973767,Very Affluent,Employed,55-64
238,Male,64.63199883872184,Very Affluent,Not in Labour Force,65-74
239,Female,37.50818141458213,Average,Unemployed,35-44
240,Female,15.177456065456145,Very Disadvantaged,Not in Labour Force,15-24
241,Female,18.139941127549275,Very Disadvantaged,Not in Labour Force,15-24
242,Female,24.18557764380461,Very Disadvantaged,Unemployed,25-34
243,Male,45.132799334364535,Average,Employed,45-54
244,Female,22.207543184545063,Very Disadvantaged,Employed,15-24
245,Female,31.773066829635415,Disadvantaged,Not in Labour Force,25-34
246,Female,19.24670184084495,Very Disadvantaged,Employed,15-24
247,Male,46.227177106845616,Affluent,Employed,45-54
248,Female,16.760191123852984,Very Disadvantaged,Not in Labour Force,15-24
249,Male,60.247114424208604,Very Affluent,Employed,55-64
250,Female,32.187291594412706,Disadvantaged,Employed,25-34
251,Male,53.514944864840814,Affluent,Employed,45-54
252,Male,43.517474785585705,Average,Employed,35-44
253,Female,17.875345802617524,Very Disadvantaged,Not in Labour Force,15-24
254,Male,43.61974341200098,Average,Employed,35-44
255,Male,48.06714957896977,Affluent,Employed,45-54
256,Female,26.355070816686023,Very Disadvantaged,Employed,25-34
257,Male,55.96227871107616,Affluent,Not in Labour Force,55-64
258,Male,45.799624016732324,Affluent,Employed,45-54
259,Male,43.17092645280335,Average,Employed,35-44
260,Male,46.62052892212062,Affluent,Employed,45-54
261,Male,49.463432489568085,Affluent,Unemployed,45-54
262,Female,29.148194635938893,Disadvantaged,Employed,25-34
263,Male,55.33668073227816,Affluent,Employed,55-64
264,Male,60.366379179468524,Very Affluent,Not in Labour Force,55-64
265,Male,51.714263648324184,Affluent,Employed,45-54
266,Male,49.78672673756956,Affluent,Employed,45-54
267,Female,39.47158761992345,Average,Employed,35-44
268,Male,60.39967636461512,Very Affluent,Employed,55-64
269,Male,48.36271177626508,Affluent,Employed,45-54
270,Female,33.395393117330926,Disadvantaged,Employed,25-34
271,Male,41.48840917873628,Average,Employed,35-44
272,Female,36.08836617125446,Disadvantaged,Employed,35-44
273,Female,17.370678163053963,Very Disadvantaged,Employed,15-24
274,Male,44.13889183645687,Average,Employed,45-54
275,Male,59.85037802672035,Very Affluent,Not in Labour Force,55-64
276,Male,71.74418025039239,Very Affluent,Not in Labour Force,65-74
277,Male,49.29679892566258,Affluent,Employed,45-54
278,Female,20.38458712572354,Very Disadvantaged,Not in Labour Force,15-24
279,Female,36.75868674419756,Average,Not in Labour Force,35-44
280,Female,18.13552461548409,Very Disadvantaged,Employed,15-24
281,Female,25.892025251721147,Very Disadvantaged,Employed,25-34
282,Male,43.61450570944743,Average,Employed,35-44
283,Female,25.825447969721345,Very Disadvantaged,Employed,25-34
284,Male,43.66970241999682,Average,Employed,35-44
285,Male,41.3046168475981,Average,Employed,35-44
286,Male,61.44185249438595,Very Affluent,Employed,55-64
287,Male,51.298698319758216,Affluent,Employed,45-54
288,Male,64.90403147342215,Very Affluent,Not in Labour Force,65-74
289,Female,30.882665424441072,Disadvantaged,Not in Labour Force,25-34
290,Female,29.913604403307502,Disadvantaged,Employed,25-34
291,Male,50.17687714494627,Affluent,Employed,45-54
292,Male,64.67927333110565,Very Affluent,Not in Labour Force,65-74
293,Male,80.78844129073605,Very Affluent,Not in Labour Force,75+
294,Male,47.176726316434305,Affluent,Not in Labour Force,45-54
295,Female,33.24576859304891,Disadvantaged,Employed,25-34
296,Male,45.52991877580879,Affluent,Not in Labour Force,45-54
297,Male,57.68780650285743,Very Affluent,Employed,55-64
298,Male,46.546738464856816,Affluent,Employed,45-54
299,Female,22.864824135265323,Very Disadvantaged,Employed,15-24
300,Female,31.260578204492177,Disadvantaged,Employed,25-34
301,Male,82.30603220716878,Very Affluent,Not in Labour Force,75+
302,Female,37.703830538655126,Average,Employed,35-44
303,Male,44.019046652632014,Average,Employed,45-54
304,Male,41.8933619040175,Average,Employed,35-44
305,Female,27.07695778750795,Very Disadvantaged,Employed,25-34
306,Female,25.45399903024498,Very Disadvantaged,Employed,25-34
307,Female,40.72911832295093,Average,Employed,35-44
308,Male,84.40957003411641,Very Affluent,Not in Labour Force,75+
309,Female,36.05798737093281,Disadvantaged,Not in Labour Force,35-44
310,Male,50.94999405366146,Affluent,Employed,45-54
311,Female,25.980079483696944,Very Disadvantaged,Employed,25-34
312,Female,20.040560657215252,Very Disadvantaged,Employed,15-24
313,Female,25.030875517938824,Very Disadvantaged,Not in Labour Force,25-34
314,Female,25.237478574004136,Very Disadvantaged,Not in Labour Force,25-34
315,Female,31.15832158696389,Disadvantaged,Employed,25-34
316,Male,42.31663593772802,Average,Employed,35-44
317,Male,54.40086899586949,Affluent,Employed,55-64
318,Male,62.50343901230044,Very Affluent,Employed,55-64
319,Male,47.00445394185837,Affluent,Employed,45-54
320,Male,60.04342227227852,Very Affluent,Employed,55-64
321,Male,45.11958966210567,Average,Employed,45-54
322,Male,49.86595514159188,Affluent,Employed,45-54
323,Male,42.33774161377847,Average,Employed,35-44
324,Male,63.3771124440876,Very Affluent,Employed,55-64
325,Female,18.84063888520884,Very Disadvantaged,Employed,15-24
326,Male,55.03023019077088,Affluent,Employed,55-64
327,Female,24.3682561649199,Very Disadvantaged,Employed,25-34
328,Female,19.266818866623066,Very Disadvantaged,Not in Labour Force,15-24
329,Female,19.286243530206768,Very Disadvantaged,Unemployed,15-24
330,Female,18.820877146104642,Very Disadvantaged,Employed,15-24
331,Male,41.392530439880055,Average,Employed,35-44
332,Female,36.53745664605211,Average,Employed,35-44
333,Male,98.22442450063971,Very Affluent,Unemployed,75+
334,Female,22.329721944107106,Very Disadvantaged,Employed,15-24
335,Female,33.12909547083145,Disadvantaged,Not in Labour Force,25-34
336,Male,92.90692235256901,Very Affluent,Not in Labour Force,75+
337,Female,36.368393615425354,Average,Unemployed,35-44
338,Male,62.79221636377932,Very Affluent,Not in Labour Force,55-64
339,Male,43.785328125571,Average,Employed,35-44
340,Male,72.08200647757826,Very Affluent,Not in Labour Force,65-74
341,Male,62.993305844625674,Very Affluent,Not in Labour Force,55-64
342,Male,54.78149141390154,Affluent,Employed,55-64
343,Female,17.42508490399289,Very Disadvantaged,Not in Labour Force,15-24
344,Male,74.08390293199948,Very Affluent,Not in Labour Force,75+
345,Male,41.55461804588796,Average,Employed,35-44
346,Female,27.577640103644296,Disadvantaged,Employed,25-34
347,Male,62.009430293069805,Very Affluent,Employed,55-64
348,Female,28.372997145799516,Disadvantaged,Employed,25-34
349,Female,24.0158247243564,Very Disadvantaged,Unemployed,25-34
350,Male,51.57093572960132,Affluent,Employed,45-54
351,Male,77.08312730725417,Very Affluent,Not in Labour Force,75+
352,Male,42.26176588490746,Average,Employed,35-44
353,Female,38.26951406333313,Average,Employed,35-44
354,Female,16.71796317642844,Very Disadvantaged,Employed,15-24
355,Male,45.49747431477509,Affluent,Not in Labour Force,45-54
356,Male,74.60572475576112,Very Affluent,Not in Labour Force,75+
357,Male,75.31482241124384,Very Affluent,Not in Labour Force,75+
358,Male,68.23077366807948,Very Affluent,Not in Labour Force,65-74
359,Female,26.42662106542194,Very Disadvantaged,Employed,25-34
360,Male,46.305760226856194,Affluent,Employed,45-54
361,Female,36.88423516012245,Average,Not in Labour Force,35-44
362,Female,34.70527315803349,Disadvantaged,Employed,35-44
363,Female,17.765671207953154,Very Disadvantaged,Not in Labour Force,15-24
364,Male,61.377270791542855,Very Affluent,Not in Labour Force,55-64
365,Male,48.77378071719917,Affluent,Employed,45-54
366,Female,21.080837547370507,Very Disadvantaged,Employed,15-24
367,Male,63.14983228702671,Very Affluent,Employed,55-64
368,Male,54.98413668429613,Affluent,Employed,55-64
369,Female,32.679355920289034,Disadvantaged,Not in Labour Force,25-34
370,Male,57.409883265048585,Very Affluent,Employed,55-64
371,Female,41.01904538328595,Average,Employed,35-44
372,Female,16.649684440311027,Very Disadvantaged,Unemployed,15-24
373,Female,37.77870706275169,Average,Employed,35-44
374,Female,38.33549154267085,Average,Unemployed,35-44
375,Female,29.074122408434874,Disadvantaged,Employed,25-34
376,Male,58.285288130348036,Very Affluent,Employed,55-64
377,Male,52.684956271311364,Affluent,Employed,45-54
378,Male,44.584426014209654,Average,Employed,45-54
379,Female,40.37134125551444,Average,Employed,35-44
380,Female,40.129102348621856,Average,Not in Labour Force,35-44
381,Female,30.38170812541042,Disadvantaged,Employed,25-34
382,Male,45.451351285106,Affluent,Not in Labour Force,45-54
383,Male,53.20155566584613,Affluent,Employed,45-54
384,Female,30.55925924359,Disadvantaged,Not in Labour Force,25-34
385,Male,41.67328347948184,Average,Employed,35-44
386,Female,21.731128634836026,Very Disadvantaged,Not in Labour Force,15-24
387,Male,50.929391852792776,Affluent,Not in Labour Force,45-54
388,Male,62.86101471094172,Very Affluent,Employed,55-64
389,Male,43.689991409492976,Average,Unemployed,35-44
390,Male,88.0498411722081,Very Affluent,Not in Labour Force,75+
391,Female,26.124975688753572,Very Disadvantaged,Employed,25-34
392,Female,15.96745450232958,Very Disadvantaged,Employed,15-24
393,Female,38.80114911020136,Average,Employed,35-44
394,Male,68.4790981275761,Very Affluent,Not in Labour Force,65-74
395,Male,59.50837907683365,Very Affluent,Employed,55-64
396,Female,39.5144086431689,Average,Employed,35-44
397,Male,64.78843141771283,Very Affluent,Not in Labour Force,65-74
398,Female,28.461733023435123,Disadvantaged,Employed,25-34
399,Female,32.08895817126832,Disadvantaged,Employed,25-34
400,Male,51.00370843965583,Affluent,Employed,45-54
401,Male,51.50682722925062,Affluent,Employed,45-54
402,Female,16.46120797200249,Very Disadvantaged,Employed,15-24
403,Female,31.257633601758023,Disadvantaged,Unemployed,25-34
404,Male,44.3070324200426,Average,Employed,45-54
405,Male,68.33939789611492,Very Affluent,Employed,65-74
406,Female,33.64457122624923,Disadvantaged,Not in Labour Force,25-34
407,Female,22.986926025354506,Very Disadvantaged,Employed,15-24
408,Male,41.40525116313278,Average,Employed,35-44
409,Male,50.150415338180956,Affluent,Not in Labour Force,45-54
410,Female,31.840096372398556,Disadvantaged,Employed,25-34
411,Male,60.803534426269785,Very Affluent,Not in Labour Force,55-64
412,Male,65.15433777491248,Very Affluent,Not in Labour Force,65-74
413,Male,54.11197530032632,Affluent,Employed,55-64
414,Female,30.12624647678718,Disadvantaged,Employed,25-34
415,Male,69.49391976173585,Very Affluent,Not in Labour Force,65-74
416,Male,69.52341266983834,Very Affluent,Not in Labour Force,65-74
417,Male,52.70129514983278,Affluent,Employed,45-54
418,Male,65.72715387795239,Very Affluent,Not in Labour Force,65-74
419,Female,28.998380494834244,Disadvantaged,Employed,25-34
420,Female,40.46372240330348,Average,Employed,35-44
421,Male,56.813447043761904,Very Affluent,Employed,55-64
422,Male,72.34420439353906,Very Affluent,Not in Labour Force,65-74
423,Male,47.00893626449863,Affluent,Employed,45-54
424,Male,65.74076665246733,Very Affluent,Not in Labour Force,65-74
425,Male,49.77574617516256,Affluent,Not in Labour Force,45-54
426,Female,18.207459373229483,Very Disadvantaged,Employed,15-24
427,Male,58.537687965617394,Very Affluent,Employed,55-64
428,Female,35.00733134239428,Disadvantaged,Employed,35-44
429,Male,69.1981364225991,Very Affluent,Not in Labour Force,65-74
430,Female,39.94027457565479,Average,Not in Labour Force,35-44
431,Female,23.281396165737455,Very Disadvantaged,Employed,15-24
432,Male,74.52201707767034,Very Affluent,Not in Labour Force,75+
433,Female,16.33658500381336,Very Disadvantaged,Not in Labour Force,15-24
434,Male,48.965696228686014,Affluent,Unemployed,45-54
435,Female,24.112573615145074,Very Disadvantaged,Employed,25-34
436,Female,24.908960503416722,Very Disadvantaged,Not in Labour Force,25-34
437,Male,47.60278322596953,Affluent,Employed,45-54
438,Male,79.89969838822893,Very Affluent,Not in Labour Force,75+
439,Male,49.916752684396556,Affluent,Employed,45-54
440,Male,53.70771780496399,Affluent,Employed,45-54
441,Female,37.41705838831078,Average,Employed,35-44
442,Female,24.028563058149615,Very Disadvantaged,Not in Labour Force,25-34
443,Female,27.987634200801814,Disadvantaged,Unemployed,25-34
444,Male,53.87365924360723,Affluent,Employed,45-54
445,Female,18.99661545452175,Very Disadvantaged,Employed,15-24
446,Female,40.25065836262983,Average,Not in Labour Force,35-44
447,Female,26.224300278342724,Very Disadvantaged,Not in Labour Force,25-34
448,Male,46.68992958463366,Affluent,Employed,45-54
449,Male,42.97114444348087,Average,Employed,35-44
450,Male,43.69121611538282,Average,Employed,35-44
451,Male,57.41212145604379,Very Affluent,Employed,55-64
452,Male,69.57802588752165,Very Affluent,Unemployed,65-74
453,Female,26.840063268155454,Very Disadvantaged,Employed,25-34
454,Male,50.88607498133972,Affluent,Employed,45-54
455,Male,50.08293474166077,Affluent,Not in Labour Force,45-54
456,Female,29.98965687844187,Disadvantaged,Employed,25-34
457,Male,66.34215082770004,Very Affluent,Not in Labour Force,65-74
458,Male,42.1219173025803,Average,Employed,35-44
459,Male,43.27581803500467,Average,Employed,35-44
460,Female,32.923599699261715,Disadvantaged,Not in Labour Force,25-34
461,Female,33.6283592571169,Disadvantaged,Employed,25-34
462,Female,33.347695645782316,Disadvantaged,Employed,25-34
463,Male,78.78772071775091,Very Affluent,Not in Labour Force,75+
464,Female,27.35243545794507,Disadvantaged,Not in Labour Force,25-34
465,Male,48.478299180136815,Affluent,Employed,45-54
466,Male,44.0443190108803,Average,Employed,45-54
467,Female,18.821148842388077,Very Disadvantaged,Not in Labour Force,15-24
468,Male,42.5920608788862,Average,Employed,35-44
469,Female,27.58539899057559,Disadvantaged,Employed,25-34
470,Female,21.299465097711998,Very Disadvantaged,Not in Labour Force,15-24
471,Male,61.53032781232921,Very Affluent,Employed,55-64
472,Female,17.104582461105366,Very Disadvantaged,Not in Labour Force,15-24
473,Male,75.58941329506648,Very Affluent,Not in Labour Force,75+
474,Female,33.134239740526176,Disadvantaged,Not in Labour Force,25-34
475,Female,36.76739251307247,Average,Employed,35-44
476,Female,23.84581062723325,Very Disadvantaged,Employed,15-24
477,Female,23.37805079208404,Very Disadvantaged,Employed,15-24
478,Female,36.92867924959972,Average,Employed,35-44
479,Male,46.04144058267684,Affluent,Employed,45-54
